SET_SIZE, EXP_CONF, CONF, SUPPORT, LIFT, COUNT, RULE, _LHAND, _RHAND, ITEM1, ITEM2, ITEM3, ITEM4, ITEM5, index, Transpose
2,95.05,100,40.21,1.05,885, crew ==> Adult, crew, Adult, crew, =====>, Adult, , ,119,0
2,40.21,42.3,40.21,1.05,885, Adult ==> crew, Adult, crew, Adult, =====>, crew, , ,120,0
3,39.16,41.2,39.16,1.05,862, Adult ==> crew & Male, Adult, crew & Male, Adult, =====>, crew, Male, ,121,0
3,95.05,100,39.16,1.05,862, crew & Male ==> Adult, crew & Male, Adult, crew, Male, =====>, Adult, ,122,0
3,30.58,32.17,30.58,1.05,673, Adult ==> crew & No, Adult, crew & No, Adult, =====>, crew, No, ,123,0
3,95.05,100,30.58,1.05,673, crew & No ==> Adult, crew & No, Adult, crew, No, =====>, Adult, ,124,0
3,9.63,10.13,9.63,1.05,212, Adult ==> crew & Yes, Adult, crew & Yes, Adult, =====>, crew, Yes, ,125,0
3,95.05,100,9.63,1.05,212, crew & Yes ==> Adult, crew & Yes, Adult, crew, Yes, =====>, Adult, ,126,0
3,95.05,100,7.59,1.05,167, second & No ==> Adult, second & No, Adult, second, No, =====>, Adult, ,127,0
3,95.05,100,5.54,1.05,122, first & No ==> Adult, first & No, Adult, first, No, =====>, Adult, ,128,0
4,30.44,32.03,30.44,1.05,670, Adult ==> crew & No & Male, Adult, crew & No & Male, Adult, =====>, crew, No, Male,129,0
4,95.05,100,30.44,1.05,670, crew & No & Male ==> Adult, crew & No & Male, Adult, crew, No, Male, =====>, Adult,130,0
4,95.05,100,8.72,1.05,192, crew & Yes & Male ==> Adult, crew & Yes & Male, Adult, crew, Yes, Male, =====>, Adult,131,0
4,95.05,100,7,1.05,154, second & No & Male ==> Adult, second & No & Male, Adult, second, No, Male, =====>, Adult,132,0
4,95.05,100,5.36,1.05,118, first & No & Male ==> Adult, first & No & Male, Adult, first, No, Male, =====>, Adult,133,0
3,95.05,99.31,6.54,1.04,144, first & Female ==> Adult, first & Female, Adult, first, Female, =====>, Adult, ,134,0
4,95.05,99.29,6.36,1.04,140, first & Yes & Female ==> Adult, first & Yes & Female, Adult, first, Yes, Female, =====>, Adult,135,0
4,21.63,22.36,17.58,1.03,387, Male ==> third & No & Adult, Male, third & No & Adult, Male, =====>, third, No, Adult,136,0
4,78.65,81.3,17.58,1.03,387, third & No & Adult ==> Male, third & No & Adult, Male, third, No, Adult, =====>, Male,137,0
2,95.05,98.15,14.49,1.03,319, first ==> Adult, first, Adult, first, =====>, Adult, , ,138,0
2,14.77,15.25,14.49,1.03,319, Adult ==> first, Adult, first, Adult, =====>, first, , ,139,0
3,65.33,67.42,21.63,1.03,476, third ==> No & Adult, third, No & Adult, third, =====>, No, Adult, ,140,0
3,32.08,33.1,21.63,1.03,476, No & Adult ==> third, No & Adult, third, No, Adult, =====>, third, ,141,0
3,61.97,63.53,60.38,1.03,1329, Adult ==> No & Male, Adult, No & Male, Adult, =====>, No, Male, ,142,0
3,95.05,97.43,60.38,1.03,1329, No & Male ==> Adult, No & Male, Adult, No, Male, =====>, Adult, ,143,0
3,95.05,97.22,7.95,1.02,175, first & Male ==> Adult, first & Male, Adult, first, Male, =====>, Adult, ,144,0
3,95.05,97.04,8.95,1.02,197, first & Yes ==> Adult, first & Yes, Adult, first, Yes, =====>, Adult, ,145,0
3,23.99,24.38,19.17,1.02,422, Male ==> third & No, Male, third & No, Male, =====>, third, No, ,146,0
3,78.65,79.92,19.17,1.02,422, third & No ==> Male, third & No, Male, third, No, =====>, Male, ,147,0
2,95.05,96.51,65.33,1.02,1438, No ==> Adult, No, Adult, No, =====>, Adult, , ,148,0
2,67.7,68.74,65.33,1.02,1438, Adult ==> No, Adult, No, Adult, =====>, No, , ,149,1
2,95.05,96.3,75.74,1.01,1667, Male ==> Adult, Male, Adult, Male, =====>, Adult, , ,150,0
2,78.65,79.68,75.74,1.01,1667, Adult ==> Male, Adult, Male, Adult, =====>, Male, , ,151,0
4,65.33,65.56,5.36,1,118, first & Male ==> No & Adult, first & Male, No & Adult, first, Male, =====>, No, Adult,152,0
4,67.7,67.43,5.36,1,118, first & Male & Adult ==> No, first & Male & Adult, No, first, Male, Adult, =====>, No,153,1
4,61.97,61.72,17.58,1,387, third & Adult ==> No & Male, third & Adult, No & Male, third, Adult, =====>, No, Male,154,0
4,28.49,28.37,17.58,1,387, No & Male ==> third & Adult, No & Male, third & Adult, No, Male, =====>, third, Adult,155,0
3,95.05,93.85,7.63,0.99,168, second & Male ==> Adult, second & Male, Adult, second, Male, =====>, Adult, ,156,0
3,16.67,16.16,15.36,0.97,338, Adult ==> Yes & Male, Adult, Yes & Male, Adult, =====>, Yes, Male, ,157,0
3,95.05,92.1,15.36,0.97,338, Yes & Male ==> Adult, Yes & Male, Adult, Yes, Male, =====>, Adult, ,158,0
3,67.7,65.56,5.36,0.97,118, first & Male ==> No, first & Male, No, first, Male, =====>, No, ,159,1
2,95.05,91.98,29.71,0.97,654, Yes ==> Adult, Yes, Adult, Yes, =====>, Adult, , ,160,0
2,32.3,31.26,29.71,0.97,654, Adult ==> Yes, Adult, Yes, Adult, =====>, Yes, , ,161,1
4,75.74,73.3,17.58,0.97,387, third & No ==> Male & Adult, third & No, Male & Adult, third, No, =====>, Male, Adult,162,0
4,23.99,23.22,17.58,0.97,387, Male & Adult ==> third & No, Male & Adult, third & No, Male, Adult, =====>, third, No,163,0
3,15.63,15.11,14.36,0.97,316, Adult ==> Yes & Female, Adult, Yes & Female, Adult, =====>, Yes, Female, ,164,0
3,95.05,91.86,14.36,0.97,316, Yes & Female ==> Adult, Yes & Female, Adult, Yes, Female, =====>, Adult, ,165,0
4,19.17,18.5,17.58,0.96,387, Adult ==> third & No & Male, Adult, third & No & Male, Adult, =====>, third, No, Male,166,0
4,95.05,91.71,17.58,0.96,387, third & No & Male ==> Adult, third & No & Male, Adult, third, No, Male, =====>, Adult,167,0
3,61.97,59.77,19.17,0.96,422, third ==> No & Male, third, No & Male, third, =====>, No, Male, ,168,0
3,32.08,30.94,19.17,0.96,422, No & Male ==> third, No & Male, third, No, Male, =====>, third, ,169,0
2,95.05,91.58,11.86,0.96,261, second ==> Adult, second, Adult, second, =====>, Adult, , ,170,0
2,12.95,12.48,11.86,0.96,261, Adult ==> second, Adult, second, Adult, =====>, second, , ,171,0
3,23.17,22.08,20.99,0.95,462, Adult ==> third & Male, Adult, third & Male, Adult, =====>, third, Male, ,172,0
3,95.05,90.59,20.99,0.95,462, third & Male ==> Adult, third & Male, Adult, third, Male, =====>, Adult, ,173,0
4,61.97,59,7,0.95,154, second & Adult ==> No & Male, second & Adult, No & Male, second, Adult, =====>, No, Male,174,0
4,11.86,11.29,7,0.95,154, No & Male ==> second & Adult, No & Male, second & Adult, No, Male, =====>, second, Adult,175,0
2,95.05,90.43,19.31,0.95,425, Female ==> Adult, Female, Adult, Female, =====>, Adult, , ,176,0
2,21.35,20.32,19.31,0.95,425, Adult ==> Female, Adult, Female, Adult, =====>, Female, , ,177,0
3,23.99,22.75,21.63,0.95,476, Adult ==> third & No, Adult, third & No, Adult, =====>, third, No, ,178,0
3,95.05,90.15,21.63,0.95,476, third & No ==> Adult, third & No, Adult, third, No, =====>, Adult, ,179,0
3,11.86,11.21,7.59,0.95,167, No ==> second & Adult, No, second & Adult, No, =====>, second, Adult, ,180,0
3,67.7,63.98,7.59,0.95,167, second & Adult ==> No, second & Adult, No, second, Adult, =====>, No, ,181,1
3,23.99,22.55,4.82,0.94,106, Female ==> third & No, Female, third & No, Female, =====>, third, No, ,182,0
3,21.35,20.08,4.82,0.94,106, third & No ==> Female, third & No, Female, third, No, =====>, Female, ,183,0
3,28.49,26.69,20.99,0.94,462, Male ==> third & Adult, Male, third & Adult, Male, =====>, third, Adult, ,184,0
3,78.65,73.68,20.99,0.94,462, third & Adult ==> Male, third & Adult, Male, third, Adult, =====>, Male, ,185,0
2,95.05,88.81,28.49,0.93,627, third ==> Adult, third, Adult, third, =====>, Adult, , ,186,0
2,32.08,29.97,28.49,0.93,627, Adult ==> third, Adult, third, Adult, =====>, third, , ,187,0
2,78.65,72.24,23.17,0.92,510, third ==> Male, third, Male, third, =====>, Male, , ,188,0
2,32.08,29.46,23.17,0.92,510, Male ==> third, Male, third, Male, =====>, third, , ,189,0
3,95.05,86.51,4.95,0.91,109, No & Female ==> Adult, No & Female, Adult, No, Female, =====>, Adult, ,190,0
4,60.38,54.82,17.58,0.91,387, third ==> No & Male & Adult, third, No & Male & Adult, third, =====>, No, Male, Adult,191,0
4,32.08,29.12,17.58,0.91,387, No & Male & Adult ==> third, No & Male & Adult, third, No, Male, Adult, =====>, third,192,0
3,65.33,58.6,7.59,0.9,167, second ==> No & Adult, second, No & Adult, second, =====>, No, Adult, ,193,0
3,12.95,11.61,7.59,0.9,167, No & Adult ==> second, No & Adult, second, No, Adult, =====>, second, ,194,0
4,60.38,54.04,7,0.89,154, second ==> No & Male & Adult, second, No & Male & Adult, second, =====>, No, Male, Adult,195,0
4,12.95,11.59,7,0.89,154, No & Male & Adult ==> second, No & Male & Adult, second, No, Male, Adult, =====>, second,196,0
3,95.05,84.83,6.86,0.89,151, third & Yes ==> Adult, third & Yes, Adult, third, Yes, =====>, Adult, ,197,0
3,95.05,84.18,7.5,0.89,165, third & Female ==> Adult, third & Female, Adult, third, Female, =====>, Adult, ,198,0
3,61.97,54.04,7,0.87,154, second ==> No & Male, second, No & Male, second, =====>, No, Male, ,199,0
3,12.95,11.29,7,0.87,154, No & Male ==> second, No & Male, second, No, Male, =====>, second, ,200,0
